ICR Number	ICR Name	ICR Type	ICR Value	ICR File	ICR Description	ICR Component	ICR Component	ICR Component	ICR Component	ICR Component
15	DBIA15-A	G	RADPT(	70	RADIOLOGY PATIENT FILE CROSS REFERENCE\n^RAO(75.1,'AS',\n
16	DBIA16	G	SRF(	130	Surgery file (130).\n^SRF(D0,0)\n.04      SURGERY SPECIALTY    0;4      Read w/Fileman\n.09      DATE OF OPERATION    0;9      Read w/Fileman\n^SRF(D0,.1)\n.14      SURGEON              .1;4     Read w/Fileman\n^SRF(D0,14,D1,0)\n.01      OTHER PREOP DIAGNOSI 0;1      Read w/Fileman\n1        PAIRED ORGAN         0;2      Read w/Fileman\n2        DIAGNOSIS COMMENTS   1;0      Read w/Fileman\n^SRF(D0,15,D1,0)\n.01      OTHER POSTOP DIAG'S  0;1      Read w/Fileman\n1        PAIRED ORGANS        0;2      Read w/Fileman\n2        DIAGNOSIS COMMENTS   1;0      Read w/Fileman\n^SRF(D0,13,D1,0)\n.01      OTHER OPERATIVE PROC 0;1      Read w/Fileman\n1.5      OP CODE COMMENTS     1;0      Read w/Fileman\n2        COMPLETED            0;3      Read w/Fileman\n3        PROCEDURE CODE       2;1      Read w/Fileman\n^SRF(D0,12,D1,0)\n1.15     SURGEON'S DICTATION  12;0     Read w/Fileman\nWord processing\n^SRF(D0,31)\n15       DATE/TIME OF DICTATI 31;6     Read w/Fileman\n39       DATE OF TRANSCRIPTIO 31;7     Read w/Fileman\n^SRF(D0,'OP')\n27       PRINCIPAL OP CODE    OP;2     Read w/Fileman\n^SRF(D0,33)\n32       PRINCIPAL PRE-OP DIA 33;1     Read w/Fileman\n^SRF(D0,34)\n34       PRINCIPAL POST-OP DI 34;1     Read w/Fileman\n^SRF(D0,'VER')\n43       CASE VERIFICATION    VER;1    Read w/Fileman\n^SRF(D0,9,D1,0)\n49       SPECIMENS AND CULTUR 0;1      Read w/Fileman\nMultiple\n^SRF('B',\nUsed to access data.\n
17	DBIA17-A	G	DGPM(	405	PATIENT MOVEMENT FILE (405).\n^DGPM(D0,\n.05      TRANSFER FACILITY    0;5      Read w/Fileman\n99       DIAGNOSIS            DX;D1    Direct Global Read & w\n^DGPM('ATID'_TT,DFN,INVERSE DT,DA)\nMovement types will be determined by traversing the following\ncross-reference:\n^DGPM("ATID"_TT,DFN,INVERSE DT,DA), where TT represents\ncode for movement types:\n1 - admissions\n2 - transfers\n3 - discharges\n6 - treating speciality\nNOTE: DA is used to call ^VADPT\n^DGPM('APCA',\nDirect Global Read of the APCA cross-reference on Patient,\nAdmission/Check-In and Movement Date/Time, for sorting data for\nHealth Summary reports.\n^DGPM('ATID1',\nDirect Global Read of the ATID1 cross-reference on Transaction,\nPatient and Movement Date/Time, for sorting data for Health Summary\nreports.\n^DGPM('ATS',\nDirect Global Read of the ATS cross-reference on Patient,\nAdmission/Check-In, Movement Date/Time and Treating Specialty, for\nsorting data for Health Summary reports.\n
19	DBIA19	G	DIC(40.7,	40.7	^DIC(40.7,D0,0)\n.01      NAME                 0;1      Read w/Fileman\nPointer to determine Stop Code.\nStop Code name used on reports,\nbulletins.\n1        AMIS REPORTING STOP  0;2      Read w/Fileman\nUsed on error-checking\nvalidation report to find 700\n(non-credit) codes, used on\nbulletin, used to screen out\n'900' entries on look-up.\n2        INACTIVE DATE        0;3      Read w/Fileman\nUsed on error-checking\nvalidation report to find\nRadiology/Nuc Med procedures\npointing to inactive stop\ncodes.  Used to screen out\ninactive selections on look-up.\n4        COST DISTRIBUTION CE 0;5      Read w/Fileman\nUsed in sort criteria and\nheading on Radiology CDR\nreport.\n
21	DBIA21	G	DPT(	2	Fields 220 and 220.1 of the Patient Files were established for Dental use\nand Dental will begin using them.\n^DPT(D0,DENT)\n220      DENTAL CLASSIFICATIO DENT;1   Both R/W w/Fileman\nA code indicating the level of\nelegibility for Dental Care.\n220.1    DENTAL ELIGIBILITY E DENT;2   Both R/W w/Fileman\nThe exiration date of Dental\neligibility, if there is one.\n
26	DBIA26	G	XUTL(	0	^XUTL('OR',$J,'PSG',\nUse of ^XUTL("OR",$J,"PSG",  Even if OE/RR has not been installed.\nThis makes the options for Inpatient Medications independently\ninvokable.\n
27	DBIA27	G	DGPT(	45	^DGPT(D0,70)\n79       DXLS                 70;10    Read w/Fileman\nVersion 4.0 fo Mental Health\nreferences field 79, DXLS in\nthe PTF File (^DGPT).  The\nreference is read-only and used\nfor display.\n
29	DBIA29	G	DD(	0	Routines LRWU5 & LRWU7 Do direct sets to the Data Dictionary.  The\nroutines allow the user to add a new Data Name or Antibiotic without\ngiving programmer access.\n
31	DBIA31-A	G	DIC(42,	42	^DIC(42,D0,0)\n.01      NAME                 0;1      Read w/Fileman\n.03      SERVICE              0;3      Read w/Fileman\n44       HOSPITAL LOCATION FI 44;1     Read w/Fileman\n
33	DBIA33	G	DIC(42,	42	Inpatient Medications will be referencing the following files & fields:\n\nFILE 42     2 ROOM subfile & all fields\n2 BED      "          "\nX-REF  "B" on ROOM-BED\n\nFILE 42.3  TRANSFER TYPE\n\nEXPIRED AS OF THE RELEASE OF MAS 5.\n\n
36	DBIA36-A	G	DIC(42,	42	^DIC(42   Used to get link to file 44 for inpatients\n
38	DBIA38			0	Cardiology package exports Lab Codes for Cardiology.\n
41	DBIA41	G	DIBT(	0	Routine DGABTP30 (background job) sets the ^DIBT global.  The routine\nchecks for sort templates, specifically [DGPMABSENCES] & [DGPMAB30],\nthrough the crossreference, and uses the template's IFN to set node\n^DIBT(IFN,1,MOVEMENT IFN) for selected records.\n
42	DBIA42	G	DIC(4,	4	LAYGO to the Institution File is allowed through an option in the MCCR\nmodule.\n
43	DBIA43	G	PRC(442,	442	^PRC(442,'B',STATION #)\nGets - IFCAP station number with a call to ^PRCFSITE with PRCF("X")\n="S"\n\nUses - the IFCAP Station Number to determine whether an obligation\nnumber\nentered by the user exists in IFCAP.  Done by doing\n$D(^PRC(442,"B",STATION NUMBER-OBLIGATION)).\n
44	DBIA44	G	DG(43,	43	^DG(43,1,'VERSION')\n999      VERSION              VERSION; Read w/Fileman\nChecks ^DG(43,1,"VERSION") to\ndetermine which version of MAS\nis running.\n\nMigrate to the "VR" node of the\nDD when made available in\nFileman (expected in version\n18).\n
47	DBIA47	G	DG(41.9,	41.9	^DG(41.9,D0,C,D1,1)\n102      OPERATING BEDS       1;2      Direct Global Read & w\nUsed for lookups.\n
51	DBIA51			720	The .01 field of file 720, "B" crossreference has been modified to be 50\ncharacters rather than the standard 30.\n
54	DBIA54			0	MAS version 4.7 will be exporting the following:\n\nRoutine PRCASVC3\nFILE 430.4 AR BILL NUMBER FILE wit input template PRCAF COMMON SERIES\n\nFollowing options make the indicated forgien calls:\n\nOPTION                             ACTION\nDGCR FILLING SUPERVISOR MENU    calls COUNT^PRCAUT2\nDGCR BILLING CLERK MENU         calls COUNT^PRCAUT2\nDGCR RETURNED BILL LIST         calls RETN^PRCALST\nDGCR CANCEL BILL                calls CANCEL^PRCASVC1\nReturn of edited bill           calls REL^PRCASVC\n
55	DBIA55	G	DOPT(	0	Since the use of ^DOPT has a long and honored history, it may be permitted\nto be used until further notice.\n
56	DBIA56	G	DOPT(	0	Given the longstanding history of the use of ^DOPT, scheduling may\ncontinue to use it.\n
57	DBIA57	G	SRF(	130	^SRF(D0,0)\n.01      PATIENT              0;1      Read w/Fileman\n.04      SURGERY SPECIALTY    0;4      Read w/Fileman\n.011     IN/OUT-PATIENT STATU 0;12     Read w/Fileman\n^SRF(D0,.1)\n.14      SURGEON              .1,4     Read w/Fileman\n^SRF(D0,.2)\n.21      ANES CARE START TIME .2;1     Read w/Fileman\n.22      TIME OPERATION BEGAN .2;2     Read w/Fileman\n.23      TIME OPERATION ENDS  .2;3     Read w/Fileman\n.24      ANES CARE END TIME   .2;4     Read w/Fileman\n.205     TIME PAT IN OR       .2;10    Read w/Fileman\n.232     TIME PAT OUT OR      .2;12    Read w/Fileman\n^SRF(D0,6,D1,0)\n.01      ANESTHESIA TECHNIQUE 0;1      Read w/Fileman\n.05      PRINCIPAL TECH       0;3      Read w/Fileman\n^SRF(D0,13,D1,0)\n.01      OTHER OPERATIVE PROC 0;1      Read w/Fileman\n^SRF(D0,13,D1,2)\n3        PROCEDURE CODE (CPT) 2;1      Read w/Fileman\n^SRF(D0,OP)\n26       PRIN OPERATIVE PROCE OP;1     Read w/Fileman\n27       PRINCIPAL OP CODE    OP;2     Read w/Fileman\n^SRF(D0,8)\n50       DIVISION             8;1      Read w/Fileman\n^SRF('AC',\n9        DATE OF OPERATION             X-REF ON DATE OF OPERATION\n(FIELD 9)\n
58	DBIA58	G	VA(200,	200	^VA(200,D0,.11)\nALL                                    All address information\nVA(200,D ALL                           All phone information.\n^VA(200,D0,5)\n29       SERVICE/SECTION      5;1      Read w/Fileman\n28       MAIL CODE            5;2      Read w/Fileman\n^VA(200,D0,1)\n5        DOB                  1;3      Read w/Fileman\n
61	DBIA61	G	DIC(36,	36	MAS may request Social Work to use an MAS supplied utility for future\nversions.\n^DIC(36,D0,0)\n.01      NAME                 0;1      Read w/Fileman\n
62	DBIA62	G	NURSA(214.6,	214.6	Subject to version 2.5 purge allowing 6 months data only.\n\nDSS uses the "B" cross reference on the CLASSIFICATION DATE/TIME field.\nGlobal: ^NURSA(214.6,"B",DATE,D0)\n^NURSA(214.6,D0,0)\n.01      CLASSIFICATION DATE/ 0;1      Read w/Fileman\n.02      NAME                 0;2      Read w/Fileman\n1        CATEGORY             0;3      Read w/Fileman\n3        ENTERED BY           0;5      Read w/Fileman\n4        CLASSIFIER           0;6      Read w/Fileman\n6        NURS LOCATION        0;8      Read w/Fileman\n7        NURSING BED SECTION  0;9      Read w/Fileman\n
63	DBIA63	G	DENT(221,	221	In addition to the field references as indicated below, a direct global\nread of the 'B' Cross Reference may be made in the DENTAL TREATMENT (AMIS)\nfile.\n^DENT(221,D0,0)\n.01      DATE                 0;1      Direct Global Read & w\n3        PATIENT (POINTER)    0;4      Direct Global Read & w\n.5       DENTAL PROVIDER      0;3      Direct Global Read & w\n.3       STATION.DIVISION     0;40     Direct Global Read & w\n4.5      PATIENT CATEGORY     0;19     Direct Global Read & w\n6        SCREENING/COMPLETE E 0;7      Direct Global Read & w\n6.2      INTERDISCIPLINARY CO 0;42     Direct Global Read & w\n6.4      EVALUATION           0;43     Direct Global Read & w\n6.6      PRE AUTH/2ND OPINION 0;44     Direct Global Read & w\n6.7      SPOT CHECK EXAM      0;27     Direct Global Read & w\n6.8      SPOT CHECK DISCREPAN 0;45     Direct Global Read & w\n7        ADMIN PROCEDURE      0;8      Direct Global Read & w\n7.1      COMPLETIONS/TERMINAT 0;41     Direct Global Read & w\n8        X-RAYS EXTRAORAL #   0;9      Direct Global Read & w\n10       X-RAYS INTRAORAL #   0;11     Direct Global Read & w\n11       PROPHY NATURAL DENTI 0;12     Direct Global Read & w\n12       PROPHY DENTURE       0;13     Direct Global Read & w\n14       NEOPLASM CONFIRMED M 0;15     Direct Global Read & w\n15       NEWPLASM REMOVED #   0;16     Direct Global Read & w\n16       BIOPSY/SMEAR #       0;17     Direct Global Read & w\n17       FRACTURE #           0;18     Direct Global Read & w\n19       OTHER SIGNIF. SURG.  0;20     Direct Global Read & w\n21       SURFACES RESTORED #  0;22     Direct Global Read & w\n22       ROOT CANAL THERAPY # 0;23     Direct Global Read & w\n23       PERIODONTAL QUADS (S 0;24     Direct Global Read & w\n24       PERIO QUADS (ROOT PL 0;25     Direct Global Read & w\n25       PATIENT ED. (CTV)    0;26     Direct Global Read & w\n27       INDIVIDUAL CROWNS #  0;28     Direct Global Read & w\n28       POST & CORES #       0;29     Direct Global Read & w\n29       FIXED PARTIALS (ABUT 0;30     Direct Global Read & w\n30       FIXED PARTIALS (PONT 0;31     Direct Global Read & w\n31       REMOVABLE PARTIALS # 0;32     Direct Global Read & w\n32       COMPLETE DENTURES #  0;33     Direct Global Read & w\n33       PROSTHETIC REPAIR #  0;34     Direct Global Read & w\n34       SPLINTS & SPEC. PROC 0;35     Direct Global Read & w\n35       EXTRACTIONS #        0;36     Direct Global Read & w\n36       SURGICAL EXTRACTIONS 0;37     Direct Global Read & w\n37       OTHER SIGNIFICANT TR 0;38     Direct Global Read & w\n38       OPERATING ROOM       0;14     Direct Global Read & w\n
64	DBIA64	G	DGBT(392.4,	392.4	^DGBT(392.4,D0,0)\n.01      MODE OF TRANSPORTATI 0;1      Read w/Fileman\nFee Basis points to this file.\n
65	RAD/NUC MED PATIENT file data extract	G	RADPT(	70	This Integration Agreement allows subscribers to read data from the NAME\n(#.01) field (top-level, DINUMed) and agreed to fields associated with the\nREGISTERED EXAMS (#70.02) and EXAMINATIONS (#70.03) sub-files.\n^RADPT(D0,0)\n.01      NAME                 0;1      Direct Global Read & w\n^RADPT(D0,'DT',D1,0)\n.01      EXAM DATE            0;1      Direct Global Read & w\n3        HOSPITAL DIVISION    0;3      Direct Global Read & w\n4        IMAGING LOCATION     0;4      Direct Global Read & w\n2        TYPE OF IMAGING      0;2      Direct Global Read & w\n^RADPT(D0,'DT',D1,'P',D2,0)\n2        RADIOLOGY PROCEDURE  0;2      Direct Global Read & w\n6        WARD                 0;6      Direct Global Read & w\n7        SERVICE              0;7      Direct Global Read & w\n13       DIAGNOSTIC CODE      0;13     Direct Global Read & w\n14       REQUESTING PHYSICIAN 0;14     Direct Global Read & w\n3        EXAM STATUS          0;3      Direct Global Read & w\n8        PRINCIPAL CLINIC     0;8      Direct Global Read & w\n12       PRIMARY INTERPRETING 0;12     Pointed to\n26       CREDIT METHOD        0;26     Direct Global Read & w\nThis field indicates the type\nof credit this location\nreceives for examinations.\nThis field is populated\nautomatically by the system at\nthe time an exam is registered\nbased on the Credit Method\nentered for the Imaging\nLocation where the exam is\nregistered.  If only the\ninterpretation as done at this\nfacility, code 1 should be\nused.  If the exam was\nperformed at this facility, but\nthe interpretation was done\nelsewhere, code 3 should be\nused.  If both the exam and\ninterpretation were done at\nthis facility, code 0 should be\nused. If the entire exam was\ndone outside the facility and\nexam data is being entered for\nthe purposes of record-keeping\nonly, code 2 should be used.\n27       VISIT                0;27     Direct Global Read & w\nThis field links the\nexamination of a patient to a\nspecific visit. The VISIT field\npoints to the VISIT (#9000010)\nfile which contains a record of\nall patient visits at health\ncare facilities or by health\ncare providers, including\ndirect outpatient and clinic\nvisits, as well as inpatient\nencounters.\n17       REPORT TEXT          0;17     Direct Global Read & w\nThe REPORT TEXT field is a\npointer data type which links a\nradiology study to a radiology\nreport record in the RAD/NUC\nMED REPORTS file (#74).\n^RADPT(D0,'DT',D1,'P',D2,'M',D3,0)\n.01      MODIFIERS            0;1      Direct Global Read & w\n^RADPT(D0,'DT',D1,'P',D2,'CMOD',D3,0)\n135      CPT MODIFIERS        0;1      Direct Global Read & w\n^RADPT(D0,'DT',D1,'P',D2,'H',\n.01      CLINICAL HISTORY FOR 0;1      Read w/Fileman\n
71	DBIA71			0	The Laboratory Package developers have granted the Health Summary team\npermission to add the application group "GMTS" to ^DIC(60, when file 60,\nthe Laboratory test file, exists.\n
73	DBIA73			0	Permission has been granted for Health Summary to export the routine:\n\nFHWHEA  as GMTSFHWZ\n\nGMTSPOST, the Health Summary post-init, will rename GMTSFHWZ as FHWHEA, if\nand only if FHWHEA is not found in the UCI by execution of ^%ZOSF("TEST").\n
75	DBIA75-A	G	YSP(606,	606	Agreement has been made for Health Summary to access the following fields\nin the Mental Health Progress Notes files.\n\n- The cross-reference ^YSP(606,"AC", is traversed.\n- Globals accessed are:\n^YSP(606,       Progress Notes\n\n- The following fields are accessed:\n^YSP(606,     606          .03     DATE/TIME OF PROGRESS NOTE\n606          1     TYPE OF PROGRESS NOTE\n606          2     AUTHOR\n606.01     .01     TEXT\n606.02     .01     SUBJECTIVE\n606.021     .01     OBJECTIVE\n606.022     .01     ASSESSMENT\n606.023     .01     PLANS\n606          30     DXLS\n606          31     DISCHARGE BED SECTION\n606.032A     .01     OTHER DIAGNOSES\n606.033     .01     OPERATIONS/PROCEDURES\n606.034     .01      INSTRUCTIONS GIVEN TO PATIENT\n606.04     .01     EMOTIONAL STATE\n606.041     .01     BEHAVIORAL ASSESSMENT\n606.042     .01     SOCIAL STATUS\n606.043     .01     REHABILITATION POTENTIAL\n606.044     .01     EMPLOYMENT POTENTIAL\n606.045     .01     DEGREE OF DANGER - SELF/OTHERS\n606.046     .01     ABNORMAL PHYSICAL FINDINGS\n606.047     .01     INIT IMPRESSION/PROVISIONAL DX\n606.048     .01     STATEMENT OF TREATMENT PLANNED\n606.03      .01     COMMENTS/CORRECTIONS\n
77	DBIA77	G	FHPT(	115	The following fields will be accessed to get patient food allergies:\n^FHPT(   115       DIETETICS PATIENT\n.1  Food Allergies\n
78	DBIA78			0	The Vitals Package developers have granted the Health Summary team\npermission to add the application group "GMTS" to ^DIC(120.51, when file\n120.51, the Vital Type file, exists.\n
80	DBIA80-A	G	MCAR(690,	690	This DBIA documents references to the MEDICAL PATIENT file (#690).\n^MCAR(690,'AC'\n
85	DBIA85-A	G	DIC(195.4,	195.4	1. Activation interface\n2. Make an appointment\nCheckin/unscheduled visit\n3. Cancel an appointment\n4. Changing clinic names\n\n1. Use of the Record Tracking System Parameter file # 195.4\nSD calls RT if the field 'MAS INTERFACE STATUS' is 'UP'\n^DIC(195.4,1,"UP")=1^\n\n2.  When a clinic appointment is made if the appointment is 'today'\nor if the Record Tracking System Parameter 'Batch requests' is\nset to 'No' or if records are requested for an unscheduled visit.\n\nA.  An entry is made in the Requested Records file #190.1\n^RTV(190.1,n)\nby a call from RT^SDUTL to a tasked job QUE^RTQ\nor RT^SDI\n\nB.  After the entry is added to the Requested Records file #190.1\nan entry is made in Parent Record Request field\nof the Patient subfield of the Hospital Location file #44\n^SC(n,"S",,,,"RTR")=n^\nby a return call from CREATE+11^RTQ2 to RTSET^SDUTL\n\n3.  When a clinic appointment is canceled:\nIf there is a Requested Records entry in file #190.1\nthe status is changed to 'canceled' by a call\nRTV(190.1,n)=^^^^^x^\nfrom RT+2^SDUTL to CANCEL^RTQ2.\n\n4.  When the name of a clinic is changed the corresponding names\nof entries in the Pull List file #194.2 are changed by a trigger\non the .01 field of the Hospital Location file #44.  Clinic\n^SC(1,0)=DJones Medical Clinic^\n^RTV(194.2,n)=Dr Jones Medical Clinic [04/01/91]^\nClinic names are changed in a compiled input template.  To\ninsure the use of this trigger the following action is taken:\nThe Record Tracking package includes the .01 field of the\nHospital Location file #44 so that the SDB template is\nre-compiled when the Record Tracking package is initialized.\n
87	DBIA87-A	G	DGS(41.1,	0	SCHEDULED ADMISSION FILE:  Loops through ARSV x-ref and looks at\nRESERVATION DATE/TIME field.                    (routine YSCEN)\n
88	DBIA88-A			0	1. The 'DG' package for MAS v5.1 will be exporting the following\nGeneric Code Sheet input templates:\n\na. DG AMS1 AMIS  from file 2100\nb. DG AMS1 AMIS 334  from file 2100\nc. DG AMS1 AMIS 336  from file 2100\nd. DG AMS1 AMIS 345  from file 2100\n
89	DBIA89	G	PRC(411,	411	Read access to File 411, ADMIN. ACTIVITY SITE PARAMETER, following fields:\n\nfield 15 HOSPITAL STREET ADDR.1\nfield 16 HOSPITAL STREET ADDR.2\nfield 17 HOSPITAL CITY\nfield 18 HOSPITAL STATE\nfield 19 HOSPITAL ZIP\nfield 19.2 HOSPITAL PHONE\n
91	DBIA91-A	G	LAB(60,	60	^LAB(60,D0,0)\n.01      NAME                 0;1      Direct Global Read & w\n1        TEST COST            0;11     Direct Global Read & w\n4        SUBSCRIPT            0;4      Direct Global Read & w\n5        LOCATION (DATA NAME) 0;5      Direct Global Read & w\n^LAB(60,'B',\nThe 'B' cross-reference is used to locate patient data by the\nspecific Laboratory Test Name.\n^LAB(60,'C',\nThe 'C' cross-reference is used to locate the Laboratory Test Name\nwhen all data for a selected patient is being evaluated based on the\nLocation (DATA NAME) for a particular result\n^LAB(60,D0,2)\nThis is a check used in  DIC('S') for LAB TESTS INCLUDED IN PANEL in\nthe following manner: S DIC("S")="I '$D(^LAB(60,+Y,2))" S\nDIC("?")="The lab test may not be a panel of tests." S\nDIC="60",DIC(0)="AEQMZ" F  D ^DIC Q:Y=-1  D\n
92	DBIA92	G	DGPT(	45	Amended October 28, 1997.  fields DGPT(D0,0) .01 and DGPT(D0,70) 80  added\nfor CIRN 11/24/98\n^DGPT(D0,0)\n2        ADMISSION DATE       0;2      Read w/Fileman\n5        SUFFIX               0;5      Read w/Fileman\n6        STATUS               0;6      Read w/Fileman\n11       TYPE OF RECORD       0;11     Read w/Fileman\n.01      PATIENT              0;1      Read w/Fileman\nField need added for CIRN\n^DGPT(D0,70)\n70       DISCHARGE DATE       70;1     Read w/Fileman\n71       DISCHARGE SPECIALTY  70;2     Read w/Fileman\n72       TYPE OF DISPOSITION  70;3     Read w/Fileman\n79       DXLS                 70;10    Read w/Fileman\n79.16    ICD 2                70;16    Read w/Fileman\n79.17    ICD 3                70;17    Read w/Fileman\n79.18    ICD 4                70;18    Read w/Fileman\n79.19    ICD 5                70;19    Read w/Fileman\n79.201   ICD 6                70;20    Read w/Fileman\n79.21    ICD 7                70;21    Read w/Fileman\n79.22    ICD 8                70;22    Read w/Fileman\n79.23    ICD 9                70;23    Read w/Fileman\n79.24    ICD 10               70;24    Read w/Fileman\n73       OUTPATIENT TREATMENT 70;4     Read w/Fileman\n80       PRINCIPAL DIAGNOSIS  70;11    Read w/Fileman\nField need added for CIRN\n^DGPT(D0,'M',D1,0)\n2        LOSING SPECIALTY     0;2      Read w/Fileman\n5        ICD 1                0;5      Read w/Fileman\n6        ICD 2                0;6      Read w/Fileman\n7        ICD 3                0;7      Read w/Fileman\n8        ICD 4                0;8      Read w/Fileman\n9        ICD 5                0;9      Read w/Fileman\n10       MOVEMENT DATE        0;10     Read w/Fileman\nAccessed via 'AM'\ncross-reference\n11       ICD 6                0;11     Read w/Fileman\n12       ICD 7                0;12     Read w/Fileman\n13       ICD 8                0;13     Read w/Fileman\n14       ICD 9                0;14     Read w/Fileman\n15       ICD 10               0;15     Read w/Fileman\n^DGPT(D0,'P',D1,0)\n.01      PROCEDURE DATE       0;1      Read w/Fileman\n4        PROCEDURE CODE 1     0;5      Read w/Fileman\n5        PROCEDURE CODE 2     0;6      Read w/Fileman\n6        PROCEDURE CODE 3     0;7      Read w/Fileman\n7        PROCEDURE CODE 4     0;8      Read w/Fileman\n8        PROCEDURE CODE 5     0;9      Read w/Fileman\n^DGPT(D0,'S',D1,0)\n.01      SURGERY/PROCEDURE DA 0;1      Read w/Fileman\n8        OPERATION CODE 1     0;8      Read w/Fileman\n9        OPERATION CODE 2     0;9      Read w/Fileman\n10       OPERATION CODE 3     0;10     Read w/Fileman\n11       OPERATION CODE 4     0;11     Read w/Fileman\n12       OPERATION CODE 5     0;12     Read w/Fileman\n^DGPT('B',X,DA)\nEligible records will be determined by using the 'b' cross reference\nto determine matches with patients.\n
93	DBIA93-A	G	SC(	44	^SC(D0,0)\n8        STOP CODE NUMBER     0;7      Direct Global Read & w\n
94	DBIA94			0	As a requirement for the AMIE C&P (phase III), Central Office requested\nthat we report lab and X-ray results in conjunction with the examination.\nAfter speaking with Troy about such a venture and attempting to procure an\nagreement to make calls to the Radiology package, it was decided that it\nwould be better for them to write a special routine for AMIE purposes.\n\nI have initially set this up under my DVBC national name space and will\nrename it (using Kernel tools) to RAUTL3 which is its true name.  However,\nbefore doing this I check to see if it already exists.\n\nAs the package cannot function without this and some sites may not have\nthe latest Radiology package up (v 4.0, I think) by the time it is sent\nout nationally (probably 1/92), I have been advised by Troy to request an\nagreement to export this and rename it.  This would be required just for\nthe initial release.\n
95	DBIA95-A	G	LR(	63	Request an agreement with the lab developers for usage of the following:\n\nCross-references:\n\nCH xref in ^LR\nMI xref in ^LR\n^LR(D0,'CH',\n^LR(D0,'MI',\n
97	DBIA97-A	G	ECC(730,	730	The DSS developers have agreed that the IMS developers may export file 730\n(NATIONAL SERVICE) with data and field 730 (NATIONAL SERVICE) in file 49\n(SERVICE/SECTION) with no data.\n
98	DBIA98-A			0	Version 5.1 of the laboratory package has a temporary agreement for the\nfollowing:\n1) To save system $Z variables in local variables for storage  in our\nerror trap.\n\nWhen Kernel release their error trapping system, Lab will convert to the\nKernel supported methodology.\n
